,forum_text,sentiment_score,negative
1,"lucio feels awful on the ptr, please fix",-1,TRUE
2,"wp blizzard, had me stop playing the game. Next time don't bother reworking a totally fine hero to nerf her to !@#$ then",-1,TRUE
3,"I'd be more than happy to provide more constructive feedback to you guys if I felt that all the constructive feedback that was given before had any impact at all.At this point many feel that this is where their Mercy feedback goes to be forgotten.This entire rework has been a PR nightmare, and honestly you've done a very poor job of managing it.I get it. Speaking to people and getting backlash for your feedback is hard. Believe me, I'm a doctoral student and I have to get patient feedback all the time. People get passionate and comments can get heated. But it's necessary if you want your community to feel like they matter and have a voice. I feel like right now, communication is extremely poor between the developers and the Mercy community. You've never changed a hero to this degree, so I'd advise you to step up your efforts to reach out to the community.",-1,TRUE
4,"This past Thanksgiving I bought my sister a copy of Overwatch, she's loved watching me play and adores the characters ever since the game came out. Now that she gets to play it herself, she couldn't be happier. I've warned her since she first started to stay out of teamchat, to not engage the people who are mean, and to generally keep to herself. She's 11 years old and doesn't need that kind of crap. Yet here we are.The two of us just came out of a match in which another person on our team was using bucketfulls of inappropriate language. Insults, swearing, sexual language, you name it. I asked him politely, ""There's a kid on this team, could you tone down the language please?"" And he just continued on with worse things. ""Your mom is a SL*T"", ""Grow up little timmy, BLOW ME"" etc.I asked him three times before I ultimately muted and reported him, and I asked the other players on my team to do so as well, to which one of them agreed.But come on you guys.I'm an adult. I already know the community is as toxic, and I know to ignore it, mute, and report when necessary. Those of us with younger siblings, family, friends also know that these youngins like playing this game. They don't need to be seeing this kind of thing, it's a nightmare. Just because some dude fresh off of CoD decided to be a jerk to a child doesn't mean kids shouldn't be allowed to play this game. We're not here to blame the victim, the perpetrators need to be held accountable. And it isn't even exclusive to kids playing, either. I know plenty of adults who are uncomfortable and more sensitive than I am, and some of the things others say really can hurt. Whether it's kids, adults, men, women, foreigners, it doesn't matter. This should not be happening.The behavior of this community is horrible, intolerable, and it is a problem. To Blizzard: You need to crack down on these reports. Get these players off of the servers. Ban them from the game. Keep chat logs. Allow us to capture proof of the harassment when we make reports. Do something to ensure the community is getting cleaned up.To the Playerbase: You need to quit being jerks for no reason. You don't know what people are going through, there's no point in making somebody else feel like a steaming pile just to boost your own ego. Just be nice.TLDR; Just got out of a match where a player was a toxic and  inappropriate jerk when there's a child on the team, this community needs to work on its behavior and Blizzard needs to crack down on those who are problems within it.",1,FALSE
5,"Turn her right click into a healing beam; or keep the ball, and increase its projectile speed to that of Zen, Mai, and Torb.  On top of that, slow down and increase the size of the barrier a bit. That way she can give tanks a small break when their defenses get overwhelmed. If they give her healing, she'll instantly become viable.If they do the rest of my suggestion, she should be some where between a tank, dps, and defense. Giving her team more flexibility on deciding if they want to got single healer, tank, or dps, without outright hurting the effectiveness of the team.",1,FALSE
6,"Posted by MicrøwaveThat Blizzcon response is worrying. They clearly do not know what to do with Symmetra, and part of me wonders if they even care? I mean a new category? What is that going to do? All her issues in her kit are still going to be just as relevant. They acknowledged she isn't used in higher ranked games, but then they say she's more viable because of her rework.... Well yeah thats true, any buff to any hero will make them MORE viable. But she isn't viable to the game as is.Exactly. What's a new category going to do? She' won't have a place in the game regardless, except at a lower tier where her gun ""carries"" because they don't have mechanical skill. In fact, I'm pretty sure if it wasn't for the range buff on her gun (which I remember prior to the rework no one really even asked for) players with great positioning and game sense wouldn't have even been able to climb to masters, because her standard kit (not ultimates) is really just that outclassed.",-1,TRUE
7,"I admit, scatter is pretty annoying, and no one likes it. Here's the obvious problem. Typical hanzo shoots scatter at person's feet, they die. Here is what i propose.Rather than reworking scatter, simply make it to where if a hanzo shoots at the ground below a person's feet, it registers as a regular arrow hit and doesn't scatter out. A way of accomplishing this, is to have the arrow bounce off the surface, and keep going for about half a second, and THEN scatter out. If this is confusing, here is a mental image. Say a hanzo shoots scatter straight at a wall. The arrow hits the wall, bounces, starts going back towards hanzo then scatters after about half a second. This will cause scatter arrow to require more skill, and it can lead to some impressive shots.EDIT: I accidentally submitted it early, and before i finished the post through editting, people quoted it.",1,FALSE
8,"Posted by BillHicksLets be real, you are crying about scatter, because you, like most people, think Hanzo should be a free kill. You are going to be really mad when they give us something that Hanzo can use consistently. So delicious.I think if anyone is getting mad, it's better to get mad at a justified skill-based ability (this rework) than to roll your eyes in mild irritation at a cheap ability exploit (scatterarrow)",-1,TRUE
9,who is reliable enough for this,1,FALSE
10,"Hold left-click as Symmetra and run in, based on your rank.",1,FALSE
11,Mercy is the best solo que carry hero.:),1,FALSE
12,You're low rank and you're not on PC. It has nothing to do with you.,-1,TRUE
13,These are the post that ignore everyone else and act all sunshine and rainbows. Well they aren't cupcake. Nothing is sunshine and rainbows. These are the post that destroys the game just like communism destroys countries. Take your socialist ideas out of this area with these heros.,-1,TRUE
14,"Making a character gay isn't pushing a political agenda.  The cast is made up of people, just like real life.  Some people in real life are gay.  Therefore it's not a big leap to think that at least one of the OW cast would be gay.  It sounds like YOU are making it political.",-1,TRUE
15,It seems like such a requested thing that would be so easy to just toss in to make people happy.But a year and a half of requests has fallen on deaf ears.,-1,TRUE
16,"I'm having much worse rates with this event than any of the others after the duplicate fix. I've unlicked all past and current summer and Halloween skins by playing and spending $19.99 per event to unlock all. This season I'm $39.98 in loot boxes in, and i still don't have any of the current holiday skins. The last 13 loot boxes I opened were duplicates. 260 coins....yay...",0,FALSE
17,If anyone has played halo 2...they know hacking is definitely possible for consoles,0,FALSE
18,sounds fine i think Roadhog should at least be able to consistently kill Genji &amp; Tracers when he lands the hook on such mobile characters or how about he gains a slight temporary damage buff if shot at while healing like Zarya's bubble,1,FALSE
