,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,Merry (early) Christmas to me. #overwatch @PlayOverwatch https://t.co/LZRLBOEylQ,FALSE,0,NA,12/22/2017 19:36,FALSE,NA,9.4429E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realBOBtheBOB,0,FALSE,FALSE,NA,NA
2,Going live in 10minutes!! Starting off the holidays with some video games! Come join me? What will we play tonight?… https://t.co/BtjNJtzrEL,FALSE,0,NA,12/22/2017 19:35,TRUE,NA,9.4429E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",twistylc,0,FALSE,FALSE,NA,NA
3,On the set w/ @mrdubbsie @bhanford #gwne #gwnenow #esports #overwatch #esportsfrance… https://t.co/6Vh6cC2utT,FALSE,0,NA,12/22/2017 19:35,FALSE,NA,9.4429E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",heygirlheyLA,0,FALSE,FALSE,-118.243,34.0522
4,Slid back into gold.....SR quicksand?? #Overwatch #OverwatchWinterWonderland https://t.co/ToVg2WNYOv https://t.co/JPGLSQXQSJ,FALSE,0,NA,12/22/2017 19:34,FALSE,NA,9.4429E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aimbothero1,0,FALSE,FALSE,NA,NA
5,https://t.co/A0OFHcuUqJ  come watch me play #overwatch #OverwatchWinterWonderland #stream #twitch #smallstreamers… https://t.co/CXGuUGF5pW,FALSE,0,NA,12/22/2017 19:30,TRUE,NA,9.44289E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Forsythiagrace,1,FALSE,FALSE,NA,NA
6,THEY’RE HERE AND I LOVE THEM!  @Razer #RazerMeka #blizzard #Overwatch #DVA #Meka https://t.co/F5sH7bM65R,FALSE,0,NA,12/22/2017 19:30,FALSE,NA,9.44289E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GeekeryGaming,0,FALSE,FALSE,NA,NA
7,"Don't worry mercy I'll protect u #overwatch 

https://t.co/q0JBMLPEaf https://t.co/nnNIQw9mCQ",FALSE,1,NA,12/22/2017 19:29,FALSE,NA,9.44289E+17,NA,"<a href=""http://www.playstation.com"" rel=""nofollow"">PlayStation(R)4</a>",ZDSJ_,0,FALSE,FALSE,NA,NA
8,"In our penultimate show of 2017, we covered a bunch of topics including #Overwatch and #WorldofWarcraft, and closed… https://t.co/SaLsovdm1X",FALSE,2,NA,12/22/2017 19:27,TRUE,NA,9.44288E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GeeksofAzeroth,0,FALSE,FALSE,NA,NA
9,It's so purdy. Had to add that extra touch to my #Widowmaker #Overwatch https://t.co/9Tz8mUNYFP,FALSE,1,NA,12/22/2017 19:25,FALSE,NA,9.44288E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",KlNGRAPID,0,FALSE,FALSE,NA,NA
10,"Leather Daddy Reinhardt @PlayOverwatch @Blizzard @BlizzardCareers 

#blizzard #Overwatch #parody #fanart #reinhardt… https://t.co/owWIH5XLPa",FALSE,1,NA,12/22/2017 19:25,TRUE,NA,9.44288E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JadeEyePanda,1,FALSE,FALSE,NA,NA
11,"#roadhog #overwatch #cosplay by @jarlycosplay photo by @Alcatraz_photos 
__
 #beautiful… https://t.co/GC3HG9BG9p",FALSE,1,NA,12/22/2017 19:25,FALSE,NA,9.44288E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",badass_cosplay,1,FALSE,FALSE,NA,NA
12,A little sneak peek to my piece in the overwatch/voltron zine!! I'll let y'all know when it's ready for preorder. I… https://t.co/UCKrrXNedA,FALSE,0,NA,12/22/2017 19:23,TRUE,NA,9.44287E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EoriiArt,0,FALSE,FALSE,NA,NA
13,Watch me rage quit as I try to get to Platinum in comp #Overwatch  live at https://t.co/DQBQhVc8Ki,FALSE,1,NA,12/22/2017 19:23,FALSE,NA,9.44287E+17,NA,"<a href=""http://www.playstation.com"" rel=""nofollow"">PlayStation(R)4</a>",jckbkrrr,0,FALSE,FALSE,NA,NA
14,Destructoid's award for Overall Best Game of 2017 goes to... https://t.co/2JunOp1hae #overwatch https://t.co/rsM86JiCTM,FALSE,4,NA,12/22/2017 19:22,FALSE,NA,9.44287E+17,NA,"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>",PlaystationWrld,1,FALSE,FALSE,NA,NA
