"","x"
"1","first"
"2","[PS4/XB1] Overwatch Patch Notes – September 27, 2017"
"3","[PC] Overwatch Patch Notes – September 21, 2017"
"4","[RESOLVED] Oni Genji & Winged Victory Mercy Disabled"
"5",""
"6",""
"7","Permanent Competitive Play Bans Incoming – 9/27"
"8",""
"9",""
"10","Season 5 Ending Soon"
"11",""
"12",""
"13","[RESOLVED] Oni Genji & Winged Victory Mercy Disabled"
"14",""
"15",""
"16","[ALL] Overwatch Patch Notes – September 19, 2017"
"17","Permanent Competitive Play Bans Incoming – 9/27"
"18",""
"19",""
"20","COPA Lúcioball Top 10 Rankings"
"21",""
"22",""
"23","FFA DM Arcade Loot Box Reward"
"24","[PC] Overwatch Patch Notes – August 31, 2017"
"25","[ALL] Overwatch Patch Notes - August 29, 2017"
"26","Additional Changes for Competitive Play Season 6"
"27",""
"28",""
"29","[PS4/XB1] Overwatch Patch Notes – August 14, 2017"
"30","[PC] Overwatch Patch Notes – August 10, 2017"
"31","[ALL] Overwatch Patch Notes – August 8, 2017"
"32","[ALL] Overwatch Patch Notes - August 1, 2017"
"33","[ALL] Overwatch Patch Notes – July 27, 2017"
"34","Reporting & Penalty System Improvements"
"35",""
"36",""
"37","[PS4/XB1] Overwatch Patch Notes – July 11, 2017"
"38","[PC] Overwatch Patch Notes – June 27, 2017"
"39","Loot Box Improvements + General Reminder"
"40",""
"41",""
"42","[ALL] Overwatch Patch Notes – June 20, 2017"
"43","Seeking Feedback: Additional Reticle Colors"
"44","Matchmaking Update - April 11"
"45","[PC] Overwatch Patch Notes – June 6, 2017"
"46","Upcoming Comp. Play Change - Assault Objectives"
"47","[ALL] Overwatch Patch Notes – May 23, 2017"
"48","Season 4 Ending Soon"
"49",""
"50",""
"51","Overwatch Uprising Event Re-Enabled"
"52",""
"53",""
"54","Supports and Skill Rating"
"55","[RESOLVED] D.Va Temporarily Disabled - April 27, 2017"
"56",""
"57",""
"58","[ALL] Overwatch Patch Notes – April 27, 2017"
"59","[PS4/XB1] Overwatch Patch Notes – April 18th, 2017"
"60","[PC] Overwatch Patch Notes – April 17, 2017"
"61","Custom Game Saves/3v3/6v6/Leaderboards Disabled"
