"","x"
"1","#Overwatch #playoverwatch #Sombra #PS4share https://t.co/vy8jXa0XOk"
"2","RT @canaldialetando: Meu primeiro destaque no #overwatch! To amando esse jogo! #CanalDialetando #Games https://t.co/nw37iNnMoJ"
"3","RT @Project_Burt: @Blizzard_Ent @PlayOverwatch My Plague Doctor Reaper <U+2620><U+FE0F> #Overwatch #reaper #cosplay https://t.co/q4R6XFmClM"
"4","RT @seonmuriya: hack the planet ^^ #sombra #overwatch #fanart @playoverwatch https://t.co/YmHM6SIK47"
"5","ptr update 1.6 patchnotes | https://t.co/w4PLWIfCmb | #Overwatch #OW https://t.co/i4j7KldB5q"
"6","Symmetra now has Hindi voice-lines! | https://t.co/MBEZZE68gd | #Overwatch #OW https://t.co/6M3IDTRwqX"
"7","RT @artofow: Artist: Gabriel Jiménez https://t.co/fdNbDBtt5N #DVa #Overwatch https://t.co/tT5NhKMyrl"
"8","God please please make Tara a thing<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>im so in love with this concept already @PlayOverwatch  #Overwatch https://t.co/8rkZsPQRTj"
"9","RT @DemonicEsports2: Still live #overwatch #twitch #SupportSmallStreamers #Mixertv #retweet #gaming"
"10","RT @PYdiyudie: #WorldOfWarcraft <ed><U+00A0><U+00BD><ed><U+00B0><U+0089>#overwatch <ed><U+00A0><U+00BC><ed><U+00BD><U+0083> https://t.co/vZl5xpeiIp"
"11","RT @Project_Burt: @Blizzard_Ent @PlayOverwatch My Plague Doctor Reaper <U+2620><U+FE0F> #Overwatch #reaper #cosplay https://t.co/q4R6XFmClM"
"12","RT @Project_Burt: @Blizzard_Ent @PlayOverwatch My Plague Doctor Reaper <U+2620><U+FE0F> #Overwatch #reaper #cosplay https://t.co/q4R6XFmClM"
"13","Just got around to trying Orisa in #Overwatch and woah, she is FUN AS HELL"
"14","RT @indiegarona: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4>LIVE #Overwatch Valkyrie Online! https://t.co/e9uFiSaP3N @girlstreamers @TeamHammerSquad @BGGStreamTeam @TwitchShare @twi…"
"15","RT @Project_Burt: @Blizzard_Ent @PlayOverwatch My Plague Doctor Reaper <U+2620><U+FE0F> #Overwatch #reaper #cosplay https://t.co/q4R6XFmClM"
"16","RT @seonmuriya: hack the planet ^^ #sombra #overwatch #fanart @playoverwatch https://t.co/YmHM6SIK47"
"17","RT @Project_Burt: @Blizzard_Ent @PlayOverwatch My Plague Doctor Reaper <U+2620><U+FE0F> #Overwatch #reaper #cosplay https://t.co/q4R6XFmClM"
"18","RT @OverwatchCaval: #overwatch #overwatchmeme https://t.co/jb8BmCmpSg"
"19","Apparently I drunkenly drew this at my friend's house one time. I don't recall this. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #overwatch #mccree https://t.co/irW6aWZTcA"
"20","Meu primeiro destaque no #overwatch! To amando esse jogo! #CanalDialetando #Games https://t.co/nw37iNnMoJ"
"21","@tenspd we playing #Overwatch tonight or nah?"
"22","RT @OblivionScribe: Jack and Gabe cuddles. Alt version is available on my patreon. #reaper76 #Overwatch https://t.co/eycM0cQ6jd"
"23","RT @gamefavo: PTR<U+7248><U+30AA><U+30FC><U+30D0><U+30FC><U+30A6><U+30A9><U+30C3><U+30C1><U+304C>1.16.0<U+306B><U+30A2><U+30C3><U+30D7><U+30C7><U+30FC><U+30C8>!ULT<U+306E><U+8ABF><U+6574><U+3084>UI<U+306E><U+8FFD><U+52A0><U+306A><U+3069> https://t.co/O93Ag2Uijm #<U+30B2><U+30FC><U+30E0> #Overwatch #<U+30AA><U+30FC><U+30D0><U+30FC><U+30A6><U+30A9><U+30C3><U+30C1> #PC"
"24","RT @Project_Burt: @Blizzard_Ent @PlayOverwatch My Plague Doctor Reaper <U+2620><U+FE0F> #Overwatch #reaper #cosplay https://t.co/q4R6XFmClM"
